songName,artistName,genreName,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
Best Believe,The Alchemist,alternative hip hop,0.451,0.341,0.636,0.0000133,0.279,-8.61,0.223,145.841
Someone to Understand,The Alchemist,alternative hip hop,0.21,0.421,0.534,0.106,0.691,-9.909,0.0558,75.237
Take It Easy with the Lord,The Alchemist,alternative hip hop,0.514,0.475,0.643,0.000941,0.705,-9.191,0.135,77.979
Dean Martin Steaks ,The Alchemist,alternative hip hop,0.866,0.507,0.73,0.000804,0.429,-8.846,0.404,79.118
Judas ,The Alchemist,alternative hip hop,0.256,0.555,0.799,0,0.585,-6.808,0.564,72.488
The Hopeless Romantic ,The Alchemist,alternative hip hop,0.595,0.515,0.52,0,0.265,-5.609,0.136,80.878
Massacre ,The Alchemist,alternative hip hop,0.796,0.587,0.583,0,0.119,-8.52,0.128,80.408
Dean Martin Steaks ,The Alchemist,alternative hip hop,0.718,0.394,0.585,0.576,0.436,-11.395,0.0405,79.584
Judas ,The Alchemist,alternative hip hop,0.0132,0.588,0.702,0.201,0.539,-11.232,0.0511,145.629
The Hopeless Romantic ,The Alchemist,alternative hip hop,0.562,0.452,0.396,0.382,0.269,-11.906,0.0329,80.851
Massacre ,The Alchemist,alternative hip hop,0.818,0.477,0.354,0.000202,0.1,-15.927,0.0282,80.44
Intro,Conway the Machine,alternative hip hop,0.882,0.561,0.3,0.468,0.128,-15.987,0.221,166.37
14 KIs,Conway the Machine,alternative hip hop,0.79,0.573,0.696,0,0.333,-9.415,0.38,77.545
The Contract,Conway the Machine,alternative hip hop,0.714,0.456,0.705,0.0000169,0.689,-9.792,0.13,130.393
Shoot Sideways,Conway the Machine,alternative hip hop,0.126,0.647,0.666,0.0000523,0.121,-9.707,0.331,152.049
Calvin,Conway the Machine,alternative hip hop,0.605,0.587,0.428,0.248,0.12,-10.438,0.156,137.085
They Got Sonny,Conway the Machine,alternative hip hop,0.207,0.741,0.523,0.000111,0.385,-10.398,0.309,80.008
Gold BBSS,Conway the Machine,alternative hip hop,0.555,0.497,0.605,0.00511,0.112,-10.443,0.332,106.504
Miracle Baby ,The Alchemist,alternative hip hop,0.625,0.519,0.572,0,0.614,-9.305,0.0718,89.357
W.Y.G.D.T.N.S. ,The Alchemist,alternative hip hop,0.649,0.647,0.468,0.00119,0.157,-10.87,0.157,68.033
Universal Studios ,The Alchemist,alternative hip hop,0.0513,0.49,0.714,0.000153,0.305,-7.333,0.339,151.786
Blank Canvas,The Alchemist,alternative hip hop,0.981,0.456,0.493,0.0241,0.188,-13.872,0.079,65.987
The Equation ,The Alchemist,alternative hip hop,0.0257,0.431,0.781,0.542,0.404,-8.781,0.158,77.048
Flirting With Depth,The Alchemist,alternative hip hop,0.96,0.308,0.474,0.00788,0.471,-13.611,0.0809,76.564
Stained Glass ,The Alchemist,alternative hip hop,0.562,0.698,0.644,0,0.567,-8.554,0.321,145.868
The Beginning & the End,The Alchemist,alternative hip hop,0.133,0.65,0.601,0.484,0.592,-10.107,0.0442,110.45
Rain Forest ,The Alchemist,alternative hip hop,0.354,0.562,0.566,0.828,0.393,-9.397,0.332,80.02
Rays of Light ,The Alchemist,alternative hip hop,0.31,0.658,0.418,0.779,0.186,-9.218,0.0383,76.984
Isolated Spaces,The Alchemist,alternative hip hop,0.565,0.629,0.591,0.365,0.419,-7.677,0.082,32.522
Risk,The Alchemist,alternative hip hop,0.055,0.684,0.435,0.55,0.218,-9.769,0.0571,149.962
The Last Stage,The Alchemist,alternative hip hop,0.475,0.67,0.814,0.0135,0.121,-11.102,0.266,131.787
Kool Aid,Elijah the Alchemist,alternative hip hop,0.826,0.752,0.277,0.747,0.119,-12.833,0.104,87.036
Dusty Joint,Elijah the Alchemist,alternative hip hop,0.728,0.687,0.113,0.874,0.0921,-13.156,0.415,180.296
Underbridge,Elijah the Alchemist,alternative hip hop,0.712,0.551,0.187,0.0838,0.217,-19.593,0.323,102.411
Soho,Elijah the Alchemist,alternative hip hop,0.662,0.695,0.0478,0.465,0.0888,-13.903,0.425,180.218
Loose Change ,The Alchemist,alternative hip hop,0.146,0.506,0.628,0.0000291,0.135,-8.167,0.175,86.131
Rookies of the Future ,The Alchemist,alternative hip hop,0.411,0.729,0.623,0,0.111,-6.579,0.0351,83.003
Summer Maddness,The Alchemist,alternative hip hop,0.137,0.396,0.539,0.0582,0.653,-6.906,0.329,177.121
Muscular Infant,The Alchemist,alternative hip hop,0.0407,0.504,0.877,0.0175,0.433,-7.562,0.0962,81.314
Steve McQueen Jacket,The Alchemist,alternative hip hop,0.201,0.445,0.854,0.338,0.735,-8.034,0.173,183.964
Bloodhounds,The Alchemist,alternative hip hop,0.00135,0.443,0.94,0.00781,0.548,-5.972,0.0841,175.011
Voodoo,The Alchemist,alternative hip hop,0.234,0.614,0.644,0,0.39,-5.593,0.282,86.404
Drug Break,The Alchemist,alternative hip hop,0.0276,0.361,0.888,0.434,0.407,-7.7,0.146,164.885
Retarded Alligator,The Alchemist,alternative hip hop,0.0839,0.537,0.882,0.639,0.613,-7.005,0.127,80.522
Seven Minutes,The Alchemist,alternative hip hop,0.216,0.36,0.694,0.556,0.714,-7.638,0.0521,74.491
Jane Meets Chrissy,The Alchemist,alternative hip hop,0.0661,0.616,0.824,0.00466,0.14,-9.206,0.0816,165.675
Kirk F*ckin Douglas,The Alchemist,alternative hip hop,0.285,0.584,0.576,0.843,0.374,-8.233,0.268,179.992
Flipping Like Napoleon,The Alchemist,alternative hip hop,0.0000614,0.708,0.58,0.837,0.215,-9.189,0.0661,157.954
Holy Tabernacle,The Alchemist,alternative hip hop,0.0131,0.332,0.76,0.828,0.184,-6.928,0.0762,87.225
Knife Confrontation,The Alchemist,alternative hip hop,0.00769,0.34,0.847,0.721,0.234,-6.492,0.255,180.345
Gigantic Claim,The Alchemist,alternative hip hop,0.715,0.58,0.943,0.807,0.154,-6.672,0.223,84.992
A Million Cigarettes,The Alchemist,alternative hip hop,0.000498,0.32,0.89,0.519,0.133,-6.187,0.0499,150.401
Still Ill,The Alchemist,alternative hip hop,0.143,0.523,0.808,0.497,0.17,-9.083,0.24,72.979
Pray for You,The Alchemist,alternative hip hop,0.266,0.621,0.592,0,0.3,-7.031,0.105,88.574
On a Solid Rock,The Alchemist,alternative hip hop,0.207,0.379,0.649,0.611,0.121,-8.721,0.0764,143.182
A Thousand Birds,The Alchemist,alternative hip hop,0.433,0.511,0.681,0,0.622,-8.312,0.316,138.928
Church Organ Needs Maintenance,The Alchemist,alternative hip hop,0.524,0.571,0.685,0.896,0.437,-8.541,0.168,140.6
Floor Seats,The Alchemist,alternative hip hop,0.617,0.407,0.669,0.000586,0.689,-7.879,0.085,86.66
No Mystery God,The Alchemist,alternative hip hop,0.509,0.463,0.719,0.00000458,0.637,-7.75,0.22,86.988
You Better Listen,The Alchemist,alternative hip hop,0.126,0.492,0.641,0.192,0.814,-9.034,0.0688,94.445
Message for the People,The Alchemist,alternative hip hop,0.429,0.725,0.678,0,0.645,-9.072,0.296,97.904
Try My Hand,The Alchemist,alternative hip hop,0.709,0.538,0.676,0.0000592,0.243,-7.376,0.22,87.018
Crisis,The Alchemist,alternative hip hop,0.834,0.563,0.518,0.785,0.448,-12.176,0.0799,82.398
Find a Way,The Alchemist,alternative hip hop,0.261,0.483,0.709,0.0000234,0.666,-8.469,0.343,76.089
Forgive Me,The Alchemist,alternative hip hop,0.271,0.461,0.517,0.015,0.65,-9.882,0.306,184.478
God Loves You,The Alchemist,alternative hip hop,0.423,0.681,0.655,0.0186,0.261,-8.103,0.0495,79.726
Brother Jedidiah,The Alchemist,alternative hip hop,0.416,0.577,0.864,0.000772,0.471,-5.618,0.378,72.842
Something You Cant Buy,The Alchemist,alternative hip hop,0.778,0.529,0.633,0.000843,0.617,-7.681,0.115,78.814
